No., Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
8,FW,Marco Fabian,(1989-07-21)21 July 1989 (aged 28),39,9,Eintracht Frankfurt,Mexico
9,FW,Raul Jimenez,(1991-05-05)5 May 1991 (aged 27),63,13,Benfica,Mexico
10,MF,Giovani dos Santos,(1989-05-11)11 May 1989 (aged 29),105,19,LA Galaxy,Mexico
11,FW,Carlos Vela,(1989-03-01)1 March 1989 (aged 29),68,18,Los Angeles FC,Mexico
12,GK,Alfredo Talavera,(1982-09-18)18 September 1982 (aged 35),27,0,Toluca,Mexico
13,GK,Guillermo Ochoa,(1985-07-13)13 July 1985 (aged 32),94,0,Standard Liege,Mexico
14,FW,Javier Hernandez,(1988-06-01)1 June 1988 (aged 30),102,49,West Ham United,Mexico
15,DF,Hector Moreno,(1988-01-17)17 January 1988 (aged 30),92,3,Real Sociedad,Mexico
16,DF,Hector Herrera,(1990-04-19)19 April 1990 (aged 28),66,5,Porto,Mexico
17,MF,Jesus Manuel Corona,(1993-01-06)6 January 1993 (aged 25),36,7,Porto,Mexico
18,MF,Andres Guardado,(1986-09-28)28 September 1986 (aged 31),145,25,Real Betis,Mexico
19,FW,Oribe Peralta,(1984-01-12)12 January 1984 (aged 34),67,26,America,Mexico
20,MF,Javier Aquino,(1990-02-11)11 February 1990 (aged 28),53,0,UANL,Mexico
21,DF,Edson Alvarez,(1997-10-24)24 October 1997 (aged 20),13,1,America,Mexico
22,FW,Hirving Lozano,(1995-07-30)30 July 1995 (aged 22),28,7,PSV Eindhoven,Mexico
23,MF,Jesus Gallardo,(1994-08-15)15 August 1994 (aged 23),23,0,UNAM,Mexico
1,GK,Kim Seung-gyu,(1990-09-30)30 September 1990 (aged 27),33,0,Vissel Kobe,South Korea
2,DF,Lee Yong,(1986-12-24)24 December 1986 (aged 31),28,0,Jeonbuk Hyundai Motors,South Korea
3,DF,Jung Seung-hyun,(1994-04-03)3 April 1994 (aged 24),6,0,Sagan Tosu,South Korea
4,DF,Oh Ban-suk,(1988-05-20)20 May 1988 (aged 30),2,0,Jeju United,South Korea
5,DF,Yun Young-sun,(1988-10-04)4 October 1988 (aged 29),6,0,Seongnam FC,South Korea
6,DF,Park Joo-ho,(1987-01-16)16 January 1987 (aged 31),36,0,Ulsan Hyundai,South Korea
7,FW,Son Heung-min,(1992-07-08)8 July 1992 (aged 25),67,21,Tottenham Hotspur,South Korea
8,MF,Ju Se-jong,(1990-10-30)30 October 1990 (aged 27),11,1,Asan Mugunghwa,South Korea
9,FW,Kim Shin-wook,(1988-04-14)14 April 1988 (aged 30),50,10,Jeonbuk Hyundai Motors,South Korea
10,MF,Lee Seung-woo,(1998-01-06)6 January 1998 (aged 20),4,0,Hellas Verona,South Korea
11,FW,Hwang Hee-chan,(1996-01-26)26 January 1996 (aged 22),14,2,Red Bull Salzburg,South Korea
12,DF,Kim Min-woo,(1990-02-25)25 February 1990 (aged 28),20,1,Sangju Sangmu,South Korea
13,MF,Koo Ja-cheol,(1989-02-27)27 February 1989 (aged 29),68,19,FC Augsburg,South Korea
14,DF,Hong Chul,(1990-09-17)17 September 1990 (aged 27),14,0,Sangju Sangmu,South Korea
15,MF,Jung Woo-young,(1989-12-14)14 December 1989 (aged 28),30,1,Vissel Kobe,South Korea
16,MF,Ki Sung-yueng,(1989-01-24)24 January 1989 (aged 29),102,10,Swansea City,South Korea
17,MF,Lee Jae-sung,(1992-08-10)10 August 1992 (aged 25),35,6,Jeonbuk Hyundai Motors,South Korea
18,MF,Moon Seon-min,(1992-06-09)9 June 1992 (aged 26),3,1,Incheon United,South Korea
19,DF,Kim Young-gwon,(1990-02-27)27 February 1990 (aged 28),53,2,Guangzhou Evergrande,South Korea
20,DF,Jang Hyun-soo,(1991-09-28)28 September 1991 (aged 26),51,3,FC Tokyo,South Korea
21,GK,Kim Jin-hyeon,(1987-07-06)6 July 1987 (aged 30),15,0,Cerezo Osaka,South Korea
22,DF,Go Yo-han,(1988-03-10)10 March 1988 (aged 30),20,0,FC Seoul,South Korea
23,GK,Jo Hyeon-woo,(1991-09-25)25 September 1991 (aged 26),6,0,Daegu FC,South Korea
1,GK,Robin Olsen,(1990-01-08)8 January 1990 (aged 28),18,0,Copenhagen,Sweden
2,DF,Mikael Lustig,(1986-12-13)13 December 1986 (aged 31),66,6,Celtic,Sweden
3,DF,Victor Lindelof,(1994-07-17)17 July 1994 (aged 23),21,1,Manchester United,Sweden
4,DF,Andreas Granqvist,(1985-04-16)16 April 1985 (aged 33),72,6,Krasnodar,Sweden
5,DF,Martin Olsson,(1988-05-17)17 May 1988 (aged 30),43,5,Swansea City,Sweden
6,DF,Ludwig Augustinsson,(1994-04-21)21 April 1994 (aged 24),15,0,Werder Bremen,Sweden
7,MF,Sebastian Larsson,(1985-06-06)6 June 1985 (aged 33),100,6,Hull City,Sweden
8,MF,Albin Ekdal,(1989-07-28)28 July 1989 (aged 28),34,0,Hamburger SV,Sweden
9,FW,Marcus Berg,(1986-08-17)17 August 1986 (aged 31),57,18,Al Ain,Sweden
10,MF,Emil Forsberg,(1991-10-23)23 October 1991 (aged 26),36,6,RB Leipzig,Sweden
11,FW,John Guidetti,(1992-04-15)15 April 1992 (aged 26),20,1,Alaves,Sweden
12,GK,Karl-Johan Johnsson,(1990-01-28)28 January 1990 (aged 28),5,0,Guingamp,Sweden
13,MF,Gustav Svensson,(1987-02-07)7 February 1987 (aged 31),13,0,Seattle Sounders FC,Sweden
14,DF,Filip Helander,(1993-04-22)22 April 1993 (aged 25),4,0,Bologna,Sweden
15,MF,Oscar Hiljemark,(1992-06-28)28 June 1992 (aged 25),22,2,Genoa,Sweden
16,DF,Emil Krafth,(1994-08-02)2 August 1994 (aged 23),13,0,Bologna,Sweden
17,MF,Viktor Claesson,(1992-01-02)2 January 1992 (aged 26),22,3,Krasnodar,Sweden
18,DF,Pontus Jansson,(1991-02-13)13 February 1991 (aged 27),15,0,Leeds United,Sweden
19,MF,Marcus Rohden,(1991-05-11)11 May 1991 (aged 27),12,1,Crotone,Sweden
20,FW,Ola Toivonen,(1986-07-03)3 July 1986 (aged 31),59,13,Toulouse,Sweden
21,MF,Jimmy Durmaz,(1989-03-22)22 March 1989 (aged 29),45,3,Toulouse,Sweden
22,FW,Isaac Kiese Thelin,(1992-06-24)24 June 1992 (aged 25),20,2,Waasland-Beveren,Sweden
23,GK,Kristoffer Nordfeldt,(1989-06-23)23 June 1989 (aged 28),8,0,Swansea City,Sweden
1,GK,Thibaut Courtois,(1992-05-11)11 May 1992 (aged 26),58,0,Chelsea,Belgium
2,DF,Toby Alderweireld,(1989-03-02)2 March 1989 (aged 29),77,3,Tottenham Hotspur,Belgium
3,DF,Thomas Vermaelen,(1985-11-14)14 November 1985 (aged 32),66,1,Barcelona,Belgium
4,DF,Vincent Kompany,(1986-04-10)10 April 1986 (aged 32),77,4,Manchester City,Belgium
5,DF,Jan Vertonghen,(1987-04-24)24 April 1987 (aged 31),102,8,Tottenham Hotspur,Belgium
6,MF,Axel Witsel,(1989-01-12)12 January 1989 (aged 29),90,9,Tianjin Quanjian,Belgium
7,MF,Kevin De Bruyne,(1991-06-28)28 June 1991 (aged 26),62,14,Manchester City,Belgium
8,MF,Marouane Fellaini,(1987-11-22)22 November 1987 (aged 30),82,17,Manchester United,Belgium
9,FW,Romelu Lukaku,(1993-05-13)13 May 1993 (aged 25),69,36,Manchester United,Belgium
10,FW,Eden Hazard,(1991-01-07)7 January 1991 (aged 27),86,22,Chelsea,Belgium
11,MF,Yannick Ferreira Carrasco,(1993-09-04)4 September 1993 (aged 24),26,5,Dalian Yifang,Belgium
12,GK,Simon Mignolet,(1988-03-06)6 March 1988 (aged 30),21,0,Liverpool,Belgium
13,GK,Koen Casteels,(1992-06-25)25 June 1992 (aged 25),0,0,VfL Wolfsburg,Belgium
14,FW,Dries Mertens,(1987-05-06)6 May 1987 (aged 31),69,14,Napoli,Belgium
15,DF,Thomas Meunier,(1991-09-12)12 September 1991 (aged 26),25,5,Paris Saint-Germain,Belgium
16,MF,Thorgan Hazard,(1993-03-29)29 March 1993 (aged 25),11,1,Borussia Monchengladbach,Belgium
17,MF,Youri Tielemans,(1997-05-07)7 May 1997 (aged 21),9,0,Monaco,Belgium
18,FW,Adnan Januzaj,(1995-02-05)5 February 1995 (aged 23),8,0,Real Sociedad,Belgium
19,MF,Mousa Dembele,(1987-07-16)16 July 1987 (aged 30),76,5,Tottenham Hotspur,Belgium
20,DF,Dedryck Boyata,(1990-11-28)28 November 1990 (aged 27),7,0,Celtic,Belgium
21,FW,Michy Batshuayi,(1993-10-02)2 October 1993 (aged 24),16,7,Borussia Dortmund,Belgium
22,MF,Nacer Chadli,(1989-08-02)2 August 1989 (aged 28),45,5,West Bromwich Albion,Belgium
23,DF,Leander Dendoncker,(1995-04-15)15 April 1995 (aged 23),5,0,Anderlecht,Belgium
1,GK,Jordan Pickford,(1994-03-07)7 March 1994 (aged 24),3,0,Everton,England
2,DF,Kyle Walker,(1990-05-28)28 May 1990 (aged 28),35,0,Manchester City,England
3,DF,Danny Rose,(1990-07-02)2 July 1990 (aged 27),18,0,Tottenham Hotspur,England
4,MF,Eric Dier,(1994-01-15)15 January 1994 (aged 24),26,3,Tottenham Hotspur,England
5,DF,John Stones,(1994-05-28)28 May 1994 (aged 24),26,0,Manchester City,England
6,DF,Harry Maguire,(1993-03-05)5 March 1993 (aged 25),5,0,Leicester City,England
7,MF,Jesse Lingard,(1992-12-15)15 December 1992 (aged 25),12,1,Manchester United,England
8,MF,Jordan Henderson,(1990-06-17)17 June 1990 (aged 27),39,0,Liverpool,England
9,FW,Harry Kane,(1993-07-28)28 July 1993 (aged 24),24,13,Tottenham Hotspur,England
10,FW,Raheem Sterling,(1994-12-08)8 December 1994 (aged 23),38,2,Manchester City,England
11,FW,Jamie Vardy,(1987-01-11)11 January 1987 (aged 31),22,7,Leicester City,England
12,DF,Kieran Trippier,(1990-09-19)19 September 1990 (aged 27),7,0,Tottenham Hotspur,England
13,GK,Jack Butland,(1993-03-10)10 March 1993 (aged 25),8,0,Stoke City,England
14,FW,Danny Welbeck,(1990-11-26)26 November 1990 (aged 27),39,16,Arsenal,England
15,DF,Gary Cahill,(1985-12-19)19 December 1985 (aged 32),60,5,Chelsea,England
16,DF,Phil Jones,(1992-02-21)21 February 1992 (aged 26),25,0,Manchester United,England
17,DF,Fabian Delph,(1989-11-21)21 November 1989 (aged 28),11,0,Manchester City,England
18,DF,Ashley Young,(1985-07-09)9 July 1985 (aged 32),34,7,Manchester United,England
19,FW,Marcus Rashford,(1997-10-31)31 October 1997 (aged 20),19,3,Manchester United,England
20,MF,Dele Alli,(1996-04-11)11 April 1996 (aged 22),25,2,Tottenham Hotspur,England
21,MF,Ruben Loftus-Cheek,(1996-01-23)23 January 1996 (aged 22),4,0,Crystal Palace,England
22,DF,Trent Alexander-Arnold,(1998-10-07)7 October 1998 (aged 19),1,0,Liverpool,England
23,GK,Nick Pope,(1992-04-19)19 April 1992 (aged 26),1,0,Burnley,England
1,GK,Jaime Penedo,(1981-09-26)26 September 1981 (aged 36),131,0,Dinamo Bucuresti,Panama
2,DF,Michael Amir Murillo,(1996-02-11)11 February 1996 (aged 22),22,2,New York Red Bulls,Panama
3,DF,Harold Cummings,(1992-03-01)1 March 1992 (aged 26),52,0,San Jose Earthquakes,Panama
4,DF,Fidel Escobar,(1995-01-09)9 January 1995 (aged 23),23,1,New York Red Bulls,Panama
5,DF,Roman Torres,(1986-03-20)20 March 1986 (aged 32),111,10,Seattle Sounders FC,Panama
6,MF,Gabriel Enrique Gomez,(1984-05-29)29 May 1984 (aged 34),144,12,Atletico Bucaramanga,Panama
7,FW,Blas Perez,(1981-03-13)13 March 1981 (aged 37),118,43,Municipal,Panama
8,MF,Edgar Yoel Barcenas,(1993-10-23)23 October 1993 (aged 24),29,0,Tapachula,Panama
9,FW,Gabriel Torres,(1988-10-31)31 October 1988 (aged 29),72,14,Huachipato,Panama
10,FW,Ismael Diaz,(1997-05-12)12 May 1997 (aged 21),11,2,Deportivo Fabril,Panama
11,MF,Armando Cooper,(1987-11-26)26 November 1987 (aged 30),98,7,Universidad de Chile,Panama
12,GK,Jose Calderon,(1985-08-14)14 August 1985 (aged 32),31,0,Chorrillo,Panama
13,DF,Adolfo Machado,(1985-02-14)14 February 1985 (aged 33),76,1,Houston Dynamo,Panama
14,MF,Valentin Pimentel,(1991-05-30)30 May 1991 (aged 27),23,1,Plaza Amador,Panama
15,DF,Erick Davis,(1991-03-31)31 March 1991 (aged 27),38,0,Dunajska Streda,Panama
16,FW,Abdiel Arroyo,(1993-12-13)13 December 1993 (aged 24),33,5,Alajuelense,Panama
17,DF,Luis Ovalle,(1988-09-07)7 September 1988 (aged 29),25,0,CD Olimpia,Panama
18,FW,Luis Tejada,(1982-03-28)28 March 1982 (aged 36),105,43,Sport Boys,Panama
19,MF,Ricardo Avila,(1997-02-04)4 February 1997 (aged 21),5,0,Gent,Panama
20,MF,Anibal Godoy,(1990-02-10)10 February 1990 (aged 28),88,1,San Jose Earthquakes,Panama
21,MF,Jose Luis Rodriguez,(1998-06-19)19 June 1998 (aged 19),2,0,Gent,Panama
22,GK,Alex Rodriguez,(1990-08-05)5 August 1990 (aged 27),6,0,San Francisco,Panama
23,DF,Felipe Baloy,(1981-02-24)24 February 1981 (aged 37),102,3,Municipal,Panama
1,GK,Farouk Ben Mustapha,(1989-07-01)1 July 1989 (aged 28),15,0,Al-Shabab,Tunisia
2,DF,Syam Ben Youssef,(1989-03-31)31 March 1989 (aged 29),42,1,KasImpasa,Tunisia
3,DF,Yohan Benalouane,(1987-03-28)28 March 1987 (aged 31),4,0,Leicester City,Tunisia
4,DF,Yassine Meriah,(1993-07-02)2 July 1993 (aged 24),16,1,CS Sfaxien,Tunisia
5,DF,Oussama Haddadi,(1992-01-28)28 January 1992 (aged 26),9,0,Dijon,Tunisia
6,DF,Rami Bedoui,(1990-01-19)19 January 1990 (aged 28),8,0,Etoile du Sahel,Tunisia
7,FW,Saif-Eddine Khaoui,(1995-04-27)27 April 1995 (aged 23),5,0,Troyes,Tunisia
8,FW,Fakhreddine Ben Youssef,(1991-06-23)23 June 1991 (aged 26),39,5,Al-Ettifaq,Tunisia
9,MF,Anice Badri,(1990-09-18)18 September 1990 (aged 27),7,2,Esperance,Tunisia
10,FW,Wahbi Khazri,(1991-02-08)8 February 1991 (aged 27),35,12,Rennes,Tunisia
11,DF,Dylan Bronn,(1995-06-19)19 June 1995 (aged 22),5,0,Gent,Tunisia
12,DF,Ali Maaloul,(1990-01-01)1 January 1990 (aged 28),46,0,Al Ahly,Tunisia
13,MF,Ferjani Sassi,(1992-03-18)18 March 1992 (aged 26),39,3,Al-Nassr,Tunisia
14,MF,Mohamed Amine Ben Amor,(1992-05-03)3 May 1992 (aged 26),26,1,Al-Ahli,Tunisia
15,FW,Ahmed Khalil,(1994-12-21)21 December 1994 (aged 23),3,0,Club Africain,Tunisia
16,GK,Aymen Mathlouthi,(1984-09-14)14 September 1984 (aged 33),70,0,Al-Batin,Tunisia
17,MF,Ellyes Skhiri,(1995-05-10)10 May 1995 (aged 23),5,0,Montpellier,Tunisia
18,FW,Bassem Srarfi,(1997-06-25)25 June 1997 (aged 20),5,0,Nice,Tunisia
19,FW,Saber Khalifa,(1986-10-14)14 October 1986 (aged 31),44,7,Club Africain,Tunisia
20,FW,Ghailene Chaalali,(1994-02-28)28 February 1994 (aged 24),6,1,Esperance,Tunisia
21,DF,Hamdi Nagguez,(1992-10-28)28 October 1992 (aged 25),15,0,Zamalek,Tunisia
22,GK,Mouez Hassen,(1995-03-05)5 March 1995 (aged 23),3,0,Chateauroux,Tunisia
23,FW,Naim Sliti,(1992-07-27)27 July 1992 (aged 25),17,3,Dijon,Tunisia
1,GK,David Ospina,(1988-08-31)31 August 1988 (aged 29),86,0,Arsenal,Colombia
2,DF,Cristian Zapata,(1986-09-30)30 September 1986 (aged 31),55,2,Milan,Colombia
3,DF,Oscar Murillo,(1988-04-18)18 April 1988 (aged 30),13,0,Pachuca,Colombia
4,DF,Santiago Arias,(1992-01-13)13 January 1992 (aged 26),41,0,PSV Eindhoven,Colombia
5,MF,Wilmar Barrios,(1993-10-16)16 October 1993 (aged 24),10,0,Boca Juniors,Colombia
6,MF,Carlos Sanchez Moreno,(1986-02-06)6 February 1986 (aged 32),85,0,Espanyol,Colombia
7,FW,Carlos Bacca,(1986-09-08)8 September 1986 (aged 31),45,14,Villarreal,Colombia
8,MF,Abel Aguilar,(1985-01-06)6 January 1985 (aged 33),70,7,Deportivo Cali,Colombia
9,FW,Radamel Falcao,(1986-02-10)10 February 1986 (aged 32),73,29,Monaco,Colombia
10,MF,James Rodriguez,(1991-07-12)12 July 1991 (aged 26),63,21,Bayern Munich,Colombia
11,MF,Juan Cuadrado,(1988-05-26)26 May 1988 (aged 30),70,7,Juventus,Colombia
12,GK,Camilo Vargas,(1989-03-09)9 March 1989 (aged 29),5,0,Deportivo Cali,Colombia
13,DF,Yerry Mina,(1994-09-23)23 September 1994 (aged 23),12,3,Barcelona,Colombia
14,FW,Luis Muriel,(1991-04-16)16 April 1991 (aged 27),18,2,Sevilla,Colombia
15,MF,Mateus Uribe,(1991-03-21)21 March 1991 (aged 27),8,0,America,Colombia
16,MF,Jefferson Lerma,(1994-10-25)25 October 1994 (aged 23),5,0,Levante,Colombia
17,DF,Johan Mojica,(1992-08-21)21 August 1992 (aged 25),4,1,Girona,Colombia
18,DF,Farid Diaz,(1983-07-20)20 July 1983 (aged 34),13,0,Olimpia,Colombia
19,FW,Miguel Borja,(1993-01-26)26 January 1993 (aged 25),7,2,Palmeiras,Colombia
20,MF,Juan Fernando Quintero,(1993-01-18)18 January 1993 (aged 25),15,2,River Plate,Colombia
21,FW,Jose Izquierdo,(1992-07-07)7 July 1992 (aged 25),5,1,Brighton & Hove Albion,Colombia
22,GK,Jose Fernando Cuadrado,(1985-06-01)1 June 1985 (aged 33),1,0,Once Caldas,Colombia
23,DF,Davinson Sanchez,(1996-06-12)12 June 1996 (aged 22),9,0,Tottenham Hotspur,Colombia
1,GK,Eiji Kawashima,(1983-03-20)20 March 1983 (aged 35),84,0,Metz,Japan
2,DF,Naomichi Ueda,(1994-10-24)24 October 1994 (aged 23),4,0,Kashima Antlers,Japan
3,DF,Gen Shoji,(1992-12-11)11 December 1992 (aged 25),11,1,Kashima Antlers,Japan
4,MF,Keisuke Honda,(1986-06-13)13 June 1986 (aged 32),95,36,Pachuca,Japan
5,DF,Yuto Nagatomo,(1986-09-12)12 September 1986 (aged 31),105,3,Galatasaray,Japan
6,DF,Wataru Endo,(1993-02-09)9 February 1993 (aged 25),12,0,Urawa Red Diamonds,Japan
7,MF,Gaku Shibasaki,(1992-05-28)28 May 1992 (aged 26),18,3,Getafe,Japan
8,MF,Genki Haraguchi,(1991-05-09)9 May 1991 (aged 27),33,6,Fortuna Dusseldorf,Japan
9,FW,Shinji Okazaki,(1986-04-16)16 April 1986 (aged 32),113,50,Leicester City,Japan
10,MF,Shinji Kagawa,(1989-03-17)17 March 1989 (aged 29),92,30,Borussia Dortmund,Japan
11,MF,Takashi Usami,(1992-05-06)6 May 1992 (aged 26),24,3,Fortuna Dusseldorf,Japan
12,GK,Masaaki Higashiguchi,(1986-05-12)12 May 1986 (aged 32),5,0,Gamba Osaka,Japan
13,FW,Yoshinori Muto,(1992-07-15)15 July 1992 (aged 25),24,2,Mainz 05,Japan
14,MF,Takashi Inui,(1988-06-02)2 June 1988 (aged 30),27,4,Eibar,Japan
15,FW,Yuya Osako,(1990-05-18)18 May 1990 (aged 28),29,7,1. FC Koln,Japan
16,MF,Hotaru Yamaguchi,(1990-10-06)6 October 1990 (aged 27),42,2,Cerezo Osaka,Japan
17,MF,Makoto Hasebe,(1984-01-18)18 January 1984 (aged 34),110,2,Eintracht Frankfurt,Japan
18,MF,Ryota Oshima,(1993-01-23)23 January 1993 (aged 25),5,0,Kawasaki Frontale,Japan
19,DF,Hiroki Sakai,(1990-04-12)12 April 1990 (aged 28),43,0,Marseille,Japan
20,DF,Tomoaki Makino,(1987-05-11)11 May 1987 (aged 31),32,4,Urawa Red Diamonds,Japan
21,DF,Gotoku Sakai,(1991-03-14)14 March 1991 (aged 27),41,0,Hamburger SV,Japan
22,DF,Maya Yoshida,(1988-08-24)24 August 1988 (aged 29),82,10,Southampton,Japan
23,GK,Kosuke Nakamura,(1995-02-27)27 February 1995 (aged 23),4,0,Kashiwa Reysol,Japan
1,GK,Wojciech Szczesny,(1990-04-18)18 April 1990 (aged 28),35,0,Juventus,Poland
2,DF,Michal Pazdan,(1987-09-21)21 September 1987 (aged 30),33,0,Legia Warsaw,Poland
3,DF,Artur Jedrzejczyk,(1987-11-04)4 November 1987 (aged 30),36,3,Legia Warsaw,Poland
4,DF,Thiago Cionek,(1986-04-21)21 April 1986 (aged 32),19,0,SPAL,Poland
5,DF,Jan Bednarek,(1996-04-12)12 April 1996 (aged 22),3,0,Southampton,Poland
6,MF,Jacek Goralski,(1992-09-21)21 September 1992 (aged 25),5,0,Ludogorets Razgrad,Poland
7,FW,Arkadiusz Milik,(1994-02-28)28 February 1994 (aged 24),40,12,Napoli,Poland
8,MF,Karol Linetty,(1995-02-02)2 February 1995 (aged 23),20,1,Sampdoria,Poland
9,FW,Robert Lewandowski,(1988-08-21)21 August 1988 (aged 29),95,55,Bayern Munich,Poland
10,MF,Grzegorz Krychowiak,(1990-01-29)29 January 1990 (aged 28),51,2,West Bromwich Albion,Poland
11,MF,Kamil Grosicki,(1988-06-08)8 June 1988 (aged 30),57,12,Hull City,Poland
12,GK,Bartosz Bialkowski,(1987-07-06)6 July 1987 (aged 30),1,0,Ipswich Town,Poland
13,MF,Maciej Rybus,(1989-08-19)19 August 1989 (aged 28),51,2,Lokomotiv Moscow,Poland
14,FW,Lukasz Teodorczyk,(1991-06-03)3 June 1991 (aged 27),17,4,Anderlecht,Poland
15,DF,Kamil Glik,(1988-02-03)3 February 1988 (aged 30),57,4,Monaco,Poland
16,MF,Jakub Blaszczykowski,(1985-12-14)14 December 1985 (aged 32),99,20,VfL Wolfsburg,Poland
17,MF,Slawomir Peszko,(1985-02-19)19 February 1985 (aged 33),43,2,Lechia Gdansk,Poland
18,DF,Bartosz Bereszynski,(1992-07-12)12 July 1992 (aged 25),8,0,Sampdoria,Poland
19,MF,Piotr Zielinski,(1994-05-20)20 May 1994 (aged 24),33,5,Napoli,Poland
20,DF,Lukasz Piszczek,(1985-06-03)3 June 1985 (aged 33),63,3,Borussia Dortmund,Poland
21,MF,Rafal Kurzawa,(1993-01-29)29 January 1993 (aged 25),3,0,Gornik Zabrze,Poland
22,GK,Lukasz Fabianski,(1985-04-18)18 April 1985 (aged 33),45,0,Swansea City,Poland
23,FW,Dawid Kownacki,(1997-03-14)14 March 1997 (aged 21),2,1,Sampdoria,Poland
1,GK,Abdoulaye Diallo,(1992-03-30)30 March 1992 (aged 26),17,0,Rennes,Senegal
2,DF,Adama Mbengue,(1993-12-01)1 December 1993 (aged 24),6,0,Caen,Senegal
3,DF,Kalidou Koulibaly,(1991-06-20)20 June 1991 (aged 26),26,0,Napoli,Senegal
4,DF,Kara Mbodji,(1989-11-22)22 November 1989 (aged 28),52,5,Anderlecht,Senegal
5,MF,Idrissa Gueye,(1989-09-26)26 September 1989 (aged 28),61,1,Everton,Senegal
6,MF,Salif Sane,(1990-08-25)25 August 1990 (aged 27),22,0,Hannover 96,Senegal
7,FW,Moussa Sow,(1986-01-19)19 January 1986 (aged 32),51,18,Bursaspor,Senegal
8,MF,Cheikhou Kouyate,(1989-12-21)21 December 1989 (aged 28),48,2,West Ham United,Senegal
9,FW,Mame Biram Diouf,(1987-12-16)16 December 1987 (aged 30),49,10,Stoke City,Senegal
10,FW,Sadio Mane,(1992-04-10)10 April 1992 (aged 26),53,14,Liverpool,Senegal
11,MF,Cheikh N'Doye,(1986-03-29)29 March 1986 (aged 32),26,3,Birmingham City,Senegal
12,DF,Youssouf Sabaly,(1993-03-05)5 March 1993 (aged 25),5,0,Bordeaux,Senegal
13,MF,Alfred N'Diaye,(1990-03-06)6 March 1990 (aged 28),21,0,Wolverhampton Wanderers,Senegal
14,FW,Moussa Konate,(1993-04-03)3 April 1993 (aged 25),28,10,Amiens,Senegal
15,FW,Diafra Sakho,(1989-12-24)24 December 1989 (aged 28),12,3,Rennes,Senegal
16,GK,Khadim N'Diaye,(1985-04-05)5 April 1985 (aged 33),26,0,Horoya,Senegal
17,MF,Badou Ndiaye,(1990-10-27)27 October 1990 (aged 27),20,1,Stoke City,Senegal
18,FW,Ismaila Sarr,(1998-02-25)25 February 1998 (aged 20),16,3,Rennes,Senegal
19,FW,M'Baye Niang,(1994-12-19)19 December 1994 (aged 23),7,0,Torino,Senegal
20,FW,Keita Balde,(1995-03-08)8 March 1995 (aged 23),19,3,Monaco,Senegal
21,DF,Lamine Gassama,(1989-10-20)20 October 1989 (aged 28),36,0,Alanyaspor,Senegal
22,DF,Moussa Wague,(1998-10-04)4 October 1998 (aged 19),10,0,Eupen,Senegal
23,GK,Alfred Gomis,(1993-09-05)5 September 1993 (aged 24),1,0,SPAL,Senegal
